ingredient_obo_uri	pt_obo_uri
CHEBI_6754	HP_0000846
CHEBI_135935	HP_0000846
 CHEBI_3242	HP_0000846
CHEBI_28304	HP_0000846
 CHEBI_5779	HP_0000846
CHEBI_9316	HP_0000846
 CHEBI_7454	HP_0000846
 CHEBI_47519	HP_0000846
CHEBI_6444	HP_0000846
CHEBI_7726	HP_0000846
CHEBI_6076	HP_0000846
CHEBI_72312	HP_0000846
CHEBI_28830	HP_0000711
CHEBI_64355	HP_0000846
CHEBI_5790	HP_0000846
CHEBI_59495	HP_0000846
CHEBI_2569	HP_0000846
CHEBI_178199	HP_0002829
CHEBI_178199	HP_0025406
CHEBI_178199	HP_0003418
CHEBI_178199	HP_0001695
CHEBI_16714	HP_0000846
CHEBI_5855	HP_0000846
CHEBI_7865	HP_0000846
CHEBI_6807	HP_0000846
CHEBI_60311	HP_0000846
 CHEBI_3216	HP_0000846
CHEBI_63629	HP_0000846
CHEBI_6887	HP_0000718
CHEBI_36791	HP_0000718
CHEBI_10125	HP_0000718
CHEBI_6846	HP_0000718
 CHEBI_5118	HP_0000718
 CHEBI_404903	HP_0000718
 CHEBI_60654	HP_0000718
CHEBI_17347	HP_0000718
CHEBI_65173	HP_0000718
CHEBI_60269 | CHEBI_127780	HP_0000718
 CHEBI_2618	HP_0000718
CHEBI_46631	HP_0000718
CHEBI_2955	HP_0000718
CHEBI_71013	HP_0000718
CHEBI_50275	HP_0000718
CHEBI_5494 | CHEBI_94449	HP_0000718
CHEBI_47780	HP_0000718
CHEBI_8888	HP_0000718
CHEBI_31236	HP_0000718
 CHEBI_8356	HP_0000718
CHEBI_50730	HP_0000718
CHEBI_5790	HP_0000718
CHEBI_6067	HP_0000718
CHEBI_6437	HP_0000718
CHEBI_7824	HP_0000718
CHEBI_3001	HP_0000718
CHEBI_7936	HP_0000718
 CHEBI_6427	HP_0000718
 CHEBI_8874	HP_0000718
CHEBI_68478	HP_0000718
CHEBI_50847	HP_0000718
 CHEBI_127342	HP_0000718
CHEBI_3568	HP_0000718
CHEBI_63638	HP_0000718
CHEBI_6367	HP_0000718
CHEBI_3561	HP_0000718
 CHEBI_3996	HP_0000718
CHEBI_2549	HP_0000718
CHEBI_84500	HP_0000718
 CHEBI_36796	HP_0000718
CHEBI_15367 | CHEBI_26536	HP_0010524
CHEBI_5138	HP_0000756
CHEBI_2611	HP_0000756
CHEBI_6128	HP_0001913
CHEBI_6950	HP_0001913
 CHEBI_63845	HP_0001913
CHEBI_472657	HP_0001913
CHEBI_6822	HP_0001913
CHEBI_28971	HP_0001913
CHEBI_3485	HP_0001913
CHEBI_9328	HP_0001913
CHEBI_2682	HP_0001913
 CHEBI_7476	HP_0001913
CHEBI_60761	HP_0001913
CHEBI_6343	HP_0001913
 CHEBI_2904 	HP_0001913
 CHEBI_2618	HP_0001913
 CHEBI_3699	HP_0001913
CHEBI_5801	HP_0001913
